"value";"language"
"Thor Ragnarok";"en"
"Coco";"en"
"Dunkirk";"en"
"Guardians of the Galaxy Vol. 2";"en"
"It";"en"
"Blade Runner 2049";"en"
"Spider Man Homecoming";"en"
"Wonder Woman";"en"
"Get Out";"en"
"Wind River";"en"
"Baby Driver ";"en"
"Star Wars Episode VII   The Force Awakens";"en"
"War for the Planet of the Apes";"en"
"Rogue One";"en"
"Kingsman The Secret Service ";"en"
"The Big Sick";"en"
"Hacksaw Ridge";"en"
"Logan";"en"
"Captain America Civil War";"en"
"Guardians of the Galaxy";"en"
"Moana";"en"
"Deadpool";"en"
"The Hateful Eight";"en"
"La La Land";"en"
"Interstellar";"en"
"The Dark Knight Rises";"en"
"The Avengers";"en"
"Mad Max Fury Road ";"en"
"Inception";"en"
"Arrival ";"en"
"The Wolf of Wall Street";"en"
"Room";"en"
"The Revenant";"en"
"Gone Girl ";"en"
"The Grand Budapest Hotel";"en"
"Hidden Figures";"en"
"Sicario ";"en"
"Captain America The Winter Soldier";"en"
"Kimi no na wa.";"en"
"Django Unchained";"en"
"Fury";"en"
"Lion";"en"
"Whiplash";"en"
"Zootopia";"en"
"Gifted";"en"
"The Martian";"en"
"Harry Potter and the Deathly Hallows Part 2";"en"
"Prisoners";"en"
"Ex Machina";"en"
"The Big Short";"en"
"Her";"en"
"The Girl with the Dragon Tattoo";"en"
"Spotlight(I)";"en"
"Hell or High Water (II)";"en"
"The Social Network";"en"
"Kick Ass";"en"
"Black Swan ";"en"
"Manchester by the Sea";"en"
"Contratiempo";"en"
"Inside Out (I)";"en"
"The Hobbit An Unexpected Journey";"en"
"What We Do in the Shadows";"en"
"The Perks of Being a Wallflower";"en"
"X Men Days of Future Past ";"en"
"The Imitation Game";"en"
"Ah ga ssi ";"en"
"Drive (I)";"en"
"The Help";"en"
"Big Hero 6";"en"
"Shutter Island";"en"
"The Intouchables";"en"
"Captain Fantastic";"en"
"Nightcrawler";"en"
"Birdman or (The Unexpected Virtue of Ignorance)";"en"
"Toy Story 3";"en"
"The Theory of Everything";"en"
"Edge of Tomorrow ";"en"
"Creed";"en"
"12 Years a Slave";"en"
"Dawn of the Planet of the Apes";"en"
"Harry Potter and the Deathly Hallows Part 1";"en"
"The Fault in Our Stars ";"en"
"X First Class";"en"
"About Time (I)";"en"
"Wreck It Ralph";"en"
"Warrior ";"en"
"Silver Linings Playbook";"en"
"Lo imposible";"en"
"Tangled ";"en"
"Moonrise Kingdom";"en"
"Hunt for the Wilderpeople ";"en"
"The Town";"en"
"The Hobbit The Desolation of Smaug";"en"
"Skyfall";"en"
"The King's Speech";"en"
"Despicable Me";"en"
"Star Trek Into Darkness";"en"
"Rise of the Planet of the Apes ";"en"
"Dallas Buyers Club";"en"
"Midnight in Paris";"en"
"Bridge of Spies";"en"
"Argo";"en"
"Jagten";"en"
"Rush (I)";"en"
"Gravity";"en"
"Hugo";"en"
"Boyhood (I)";"en"
"Straight Outta Compton";"en"
"True Grit ";"en"
"Relatos salvajes ";"en"
"127 Hours";"en"
"Kubo and the Two Strings";"en"
"How to Train Your Dragon";"en"
"Incendies";"en"
"The LEGO Movie";"en"
"Me and Earl and the Dying Girl ";"en"
"Perfetti sconosciuti";"en"
"Life of Pi";"en"
"End of Watch";"en"
"Sing Street";"en"
"How to Train Your Dragon 2";"en"
"Dangal ";"en"
"Who Am I   Kein System ist sicher";"en"
"Captain Phillips";"en"
"Moneyball";"en"
"The Fighter";"en"
"Flipped (I) ";"en"
"Tucker and Dale vs Evil";"en"
"50/50 ";"en"
"La migliore offerta";"en"
"La piel que habito";"en"
"Serbuan maut";"en"
"Jodaeiye Nader az Simin";"en"
"Ang ma reul bo at da";"en"
"En man som heter Ove";"en"
"La grande bellezza";"en"
"The Little Prince (I)";"en"
"Before Midnight";"en"
"The Artist (I)";"en"
"The Book Thief";"en"
"Beasts of No Nation";"en"
"Victoria (II)";"en"
"The Raid 2 Berandal";"en"
"Mommy (I)";"en"
"Short Term 12";"en"
"Forushande";"en"
"Leviafan";"en"
"Amour";"en"
"Nebraska";"en"
"Kari gurashi no Arietti";"en"
"PK";"en"
"Hodejegerne";"en"
"En kongelig aff?re";"en"
"Ajeossi";"en"
"Kaze tachinu";"en"
"J?san nin no shikaku";"en"
"My Name Is Khan";"en"
"Pride (I)";"en"
"Disconnect (I)";"en"
"Song of the Sea";"en"
"Detachment";"en"
"Baahubali 2 The Conclusion";"en"
"Mustang";"en"
"Philomena";"en"
"Kis Uykusu";"en"
"Bahubali The Beginning";"en"
"Jin ling shi san chai";"en"
"The Broken Circle Breakdown";"en"
"Yip Man 2";"en"
"Dabba";"en"
"Bir Zamanlar Anadolu'da";"en"
"Gangs of Wasseypur";"en"
"Airlift";"en"
"Kahaani";"en"
"Haider";"en"
"H?vnen";"en"
"Drishyam";"en"
"Bajrangi Bhaijaan";"en"
"Zindagi Na Milegi Dobara ";"en"
"Pink (III)";"en"
"Mandariinid";"en"
"Queen";"en"
"Barfi!";"en"
"Kokuhaku";"en"
"Paan Singh Tomar";"en"
"Bhaag Milkha Bhaag";"en"
"Baby (I)";"en"
"Special Chabbis";"en"
"OMG Oh My God!";"en"
"English Vinglish";"en"
"Udaan";"en"
"Vicky Donor";"en"
"Finding Dory";"en"
"Captain America  Civil War";"en"
"Rogue One  A Star Wars Story";"en"
"The Secret Life of Pets";"en"
"The Jungle Book ( 2016 )";"en"
"Deadpool";"en"
"Zootopia";"en"
"Batman v Superman  Dawn of Justice";"en"
"Suicide Squad";"en"
"Doctor Strange";"en"
"Fantastic Beasts and Where To Find Them";"en"
"Moana";"en"
"Jason Bourne";"en"
"Star Trek Beyond";"en"
"X   Men  Apocalypse";"en"
"Trolls";"en"
"Kung Fu Panda 3";"en"
"Sing";"en"
"Ghostbusters ( 2016 )";"en"
"Central Intelligence";"en"
"The Legend of Tarzan";"en"
"Sully";"en"
"Bad Moms";"en"
"The Angry Birds Movie";"en"
"Independence Day  Resurgence";"en"
"The Conjuring 2";"en"
